time_T_vs_peak,value_T_vs_peak
400.0,97.08333333333333
500.0,6.930555555555555
525.0,5.7
550.0,5.372222222222222
600.0,5.697222222222222
650.0,6.586111111111111
670.0,7.169444444444444
700.0,8.619444444444444
750.0,21.072222222222223
800.0,42.952777777777776
